,book_id,Period,Author
0,Timaeus,Late,Plato
1,Theaetetus,Middle,Plato
2,Republic,Middle,Plato
3,Symposium,Middle,Plato
4,Statesman,Late,Plato
5,Sophist,Late,Plato
6,Protagoras,Early,Plato
7,Philebus,Late,Plato
8,Phaedrus,Middle,Plato
9,Phaedo,Middle,Plato
10,Parmenides,Middle,Plato
11,Meno,Middle,Plato
12,Menexenus,Unknown,Plato
13,Lysis,Early,Plato
14,Laws,Late,Plato
15,Laches,Early,Plato
16,Ion,Early,Plato
17,Gorgias,Early,Plato
18,Euthyphro,Early,Plato
19,Euthydemus,Middle,Plato
20,Crito,Early,Plato
21,Critias,Late,Plato
22,Cratylus,Middle,Plato
23,Charmides,Early,Plato
24,Apology,Early,Plato
